Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Center,41,29.22,7.2,15.4,0.469,1.9,5.3,0.353,4.2,5,0.852,1.6,3.6,5.2,2.7,0.5,1.6,2.4,2.5,20.6,14.7,-3.3,Not selected
Center,42,33.33,7.1,13,0.548,0,0,,2.7,4.8,0.552,3.7,10.2,13.9,0.7,0.8,2,2,3.1,16.9,14.9,-2.4,Not selected
Center,41,29.38,5.3,8.4,0.634,0,0,,3.1,5.4,0.565,4.4,8.5,12.9,1.3,0.9,1.3,2.1,2.9,13.7,14,0.2,Not selected
Center,47,33.43,4.5,6.9,0.657,0,0,0,3.8,5.9,0.644,3.8,8.8,12.6,0.9,0.7,2.5,1.8,2.9,12.8,14.4,4.7,Not selected
Center,45,30.48,6.1,11.6,0.531,0,0.1,0.5,1.9,4.5,0.431,3.9,9.6,13.5,1.1,1.6,1.2,2.1,3,14.2,13.1,-3.2,Not selected
Center,45,36.15,8.7,17.3,0.503,1.1,3.4,0.316,4,4.8,0.817,3.4,8.5,11.9,3,0.6,1.5,2.8,3.1,22.4,18,-0.4,Not selected
Center,35,33.18,6.1,13.2,0.463,1.5,4.4,0.348,1.7,2.1,0.819,1.5,5.2,6.7,5.1,0.7,1.7,1.6,2.2,15.5,14.1,3,Not selected
Center,46,33.7,7.2,14,0.518,0,0.1,0.333,2.8,7.8,0.355,5.3,9.9,15.2,0.8,1.7,1.4,2.1,3.1,17.3,15,3.3,Selected
Center,42,31.67,6.6,14.1,0.468,0.2,0.6,0.346,3.2,4,0.792,2.4,8.5,10.9,3.1,0.5,2.1,2,2,16.6,14.7,1.5,Selected
Center,47,31.47,6.5,13,0.501,1,3,0.321,1.3,1.7,0.756,2.1,5,7.1,3,0.9,1.4,1.3,1.9,15.2,13.5,1.5,Selected
Center,37,33.97,9.2,20.5,0.45,1.2,3.5,0.341,7.6,10.4,0.734,2.4,8.8,11.2,2.8,1.3,1.3,3.6,3.9,27.3,18.9,2.8,Selected
Center,41,29.23,4.5,8.5,0.527,0,0,,1.8,3.2,0.573,2.2,6,8.2,1.4,1.6,1.6,2.4,2.5,10.8,9.7,-8,Not selected
Center,47,25.13,2.5,5.6,0.445,0,0,0,1.9,2.2,0.845,1.7,3.8,5.5,1.5,0.4,1.6,1.2,3.2,6.8,6.2,-7.8,Not selected
Center,47,25.03,3.8,7.3,0.517,0,0,,1.3,1.6,0.811,2.6,3.4,6,1.5,0.2,1.4,1.6,2.5,8.9,7.5,-1,Not selected
Center,28,26.77,4.9,8.8,0.555,0,0,,2.7,3.6,0.745,3.1,6.2,9.3,0.9,0.4,1.2,1.7,2.5,12.4,11.1,4.8,Not selected
Center,39,20.77,2.6,4.1,0.634,0,0,,0.3,0.7,0.414,1.7,5.4,7.1,1.9,0.3,1.6,1.2,3,5.5,6.8,6.4,Not selected
Center,34,16.0,2.3,4.4,0.517,0,0.1,0,1,1.2,0.81,1.2,2,3.2,0.8,0.5,0.4,0.7,2,5.5,4.6,2.9,Not selected
Center,41,28.87,5.1,8.4,0.613,0,0,,2,3.7,0.542,3.1,8.1,11.2,0.3,0.6,3.9,2.1,2.4,12.3,12.9,-0.4,Not selected
Center,41,17.82,2.6,5,0.522,0,0.2,0.143,1,1.3,0.764,1.4,2.8,4.2,0.4,0.3,0.8,1,2.1,6.3,4.9,0,Not selected
Center,41,31.4,7.8,15.4,0.505,0,0.1,0.167,1.1,1.5,0.746,2.9,5.9,8.8,2.7,0.8,1.1,1.8,2.5,16.7,13.4,-1.1,Not selected
Center,37,31.72,5.6,10.7,0.528,0,0,,2.1,2.8,0.757,2.8,7.1,9.9,1.6,0.7,1.3,1.9,2.5,13.4,11.8,-1.5,Not selected
Center,45,30.33,6.6,12.8,0.516,0,0,,3,4,0.754,3,6.8,9.8,2.3,1,0.9,1.7,2.2,16.2,14.3,-0.2,Not selected
Center,19,25.17,5.6,11.7,0.482,0,0,,1.3,2.2,0.571,1.2,4.9,6.1,1.6,0.7,1.1,0.7,2.4,12.5,9.4,-0.5,Not selected
Center,29,21.9,1.8,4.6,0.383,0,0,0,0.8,1.6,0.489,3,5.8,8.8,3.8,0.6,1,1.8,2.7,4.3,6.4,-1.1,Not selected
Center,25,32.68,3.5,6,0.58,0,0,,2.4,4,0.61,3.2,7.3,10.5,1.6,0.8,2.6,1.9,3.1,9.4,11,3.7,Not selected
Center,46,33.33,7.8,15.7,0.494,0,0.1,0,4,5.1,0.788,2.9,5.5,8.4,1.6,0.7,1.9,2.3,3,19.6,14.6,-3.3,Not selected
Center,38,23.25,1.9,4,0.484,0,0,0,1.7,2.6,0.646,2.6,5.6,8.2,1,0.5,0.6,1.3,2,5.6,6.2,-6.5,Not selected
Center,44,33.38,4.3,6.1,0.712,0,0,,3.3,7.8,0.42,3.6,10,13.6,1,0.5,2.2,1.1,2.8,11.9,13.6,4.6,Not selected
Center,38,32.28,5.3,8.6,0.612,0,0.1,0,3.9,6.9,0.561,3.6,8.4,12,1.5,1,1.6,2.4,3.1,14.4,13.8,0.8,Not selected
Center,37,25.93,3.6,7.2,0.508,0,0.1,0,1.6,2.1,0.744,1.7,5.8,7.5,3,0.9,1.3,1.7,2.4,8.9,9.3,9.2,Not selected
Center,46,35.15,6.3,13.9,0.453,0,0.1,0.667,4.1,4.9,0.835,1.2,5.9,7.1,3.8,0.9,1.3,2.3,2.8,16.7,12.9,-0.7,Not selected
