Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Forward,4,33.93,5.2,16.2,0.323,1.8,6,0.292,6.8,8.2,0.818,2.5,11,13.5,3.5,0.2,0.2,2.5,3.5,19,13.2,-8.5,Not selected
Forward,39,33.02,6.9,14.5,0.479,1.3,3.3,0.385,4.5,5.3,0.845,1.7,3.2,4.9,3.7,2.1,0.6,1.5,1.7,19.6,17.1,1.7,Not selected
Forward,38,36.05,9.7,17.5,0.557,0.7,2,0.347,6.5,7.9,0.818,2.6,7.9,10.5,2.3,1.1,2.1,1.9,1.9,26.7,23.4,3.7,Selected
Forward,38,34.73,9.4,18.4,0.511,2.5,6.2,0.404,4.9,5.5,0.889,0.6,6.4,7,5.4,0.8,2.1,3.1,2.2,26.2,21.2,7.8,Selected
Forward,43,36.35,7.1,16.3,0.436,3.1,7.3,0.429,3.4,4.3,0.809,0.8,4.7,5.5,3,2.2,0.6,2.8,3.1,20.8,14.5,2.4,Selected
Forward,44,28.43,6,13,0.459,2.2,5.6,0.401,4.4,5,0.882,2,7.4,9.4,1.7,0.7,0.5,1.6,2.1,18.6,15,-0.5,Selected
Forward,41,33.02,8.3,19.1,0.436,1.8,4.7,0.387,4.8,5.9,0.807,1.3,5.4,6.7,1.2,0.8,2.3,2.1,3,23.3,15.3,0.7,Selected
Forward,46,14.53,1.1,3,0.365,0.8,2,0.391,0.4,0.5,0.909,0.3,1.7,2,0.6,0.5,0.2,0.5,1,3.4,2.7,-1,Not selected
Forward,44,28.68,3.5,8.1,0.429,2.1,5.7,0.369,1.1,1.4,0.79,1.6,4,5.6,1,0.5,0.4,0.8,2,10.2,8,2.3,Not selected
Forward,49,33.78,5.1,8.9,0.574,0.1,0.6,0.241,1.8,2.3,0.765,2.6,5,7.6,1.3,0.9,0.7,1.1,2.7,12.1,11.1,4.7,Not selected
Forward,46,23.23,5.3,9.6,0.552,0.2,0.8,0.229,2.9,4.2,0.684,1.9,5.2,7.1,2,0.5,0.7,2.3,3.3,13.6,10.1,-1.2,Not selected
Forward,48,24.38,3.3,7.9,0.415,1.8,4.7,0.382,1.3,1.5,0.886,0.3,1.7,2,2.8,0.7,0.1,1.4,1.4,9.6,6.8,1.2,Not selected
Forward,45,25.92,3.3,6.9,0.482,1.7,3.7,0.452,1.3,1.4,0.877,0.9,3.7,4.6,1.1,0.7,0.4,0.7,1.5,9.6,8.2,0.9,Not selected
Forward,43,31.08,3.4,8.2,0.413,1,3.1,0.321,1.4,1.6,0.857,1.5,4,5.5,2.1,0.5,0.5,1.5,2,9.1,6.9,0.1,Not selected
Forward,41,32.42,4.5,10.9,0.416,2.8,7.2,0.385,1.6,1.9,0.846,0.8,5,5.8,1.9,1.7,0.7,1.9,3,13.5,10.1,4.7,Not selected
Forward,45,32.53,6.7,14.6,0.455,2.4,5.7,0.414,2.4,2.8,0.844,0.8,4.4,5.2,2,0.7,0.3,1,1.8,18.1,12.7,0.3,Not selected
Forward,39,25.12,3.8,8.5,0.455,0.9,2.5,0.367,1.3,1.6,0.82,1.2,4.4,5.6,1.2,0.6,0.5,1.6,3.2,9.9,6.5,-0.3,Not selected
Forward,47,25.1,4.6,9.9,0.468,1.6,3.9,0.418,1.4,1.5,0.901,0.4,5.2,5.6,1.7,0.6,0.5,0.7,1.7,12.3,9.7,-0.8,Not selected
Forward,41,36.02,4.1,9.7,0.424,2.7,7.1,0.385,1.2,1.3,0.891,0.6,4.3,4.9,1.7,1.6,0.2,0.9,1.9,12.1,9.9,6.1,Not selected
Forward,40,28.12,5.3,10.9,0.483,1.4,4,0.352,1.2,1.6,0.762,1,5.1,6.1,0.7,0.4,1.4,1.2,2.9,13.2,9.3,4.8,Not selected
Forward,43,31.57,5.3,11,0.483,1.7,3.9,0.426,1.2,1.4,0.823,1.2,5.1,6.3,1.8,1.6,0.6,0.8,1.9,13.5,11.8,3.5,Not selected
Forward,49,36.18,7,15.9,0.44,1.4,4.3,0.327,2.8,4.4,0.636,1.1,3.1,4.2,1.8,1.1,0.6,1.6,1.9,18.2,11.4,4.7,Not selected
Forward,47,34.82,7,15.3,0.454,1.3,3.9,0.343,3.3,3.9,0.832,1.1,5.7,6.8,2,0.7,0.2,1.6,1.3,18.5,13,-3.5,Not selected
Forward,39,25.87,2.2,5.1,0.422,0.4,1.8,0.225,0.9,1.4,0.661,0.8,3,3.8,3.4,0.8,0.6,1.1,1.4,5.7,6.3,4.1,Not selected
Forward,45,25.43,3,7.3,0.41,1.2,3.7,0.313,1.4,1.6,0.878,0.8,2.4,3.2,1.1,0.8,0.2,0.8,2.3,8.6,6,-1.6,Not selected
Forward,11,31.77,4.4,12.6,0.345,1.5,5.6,0.258,3.2,3.3,0.972,0.2,4.2,4.4,2.5,0.7,0.2,1.5,1.5,13.4,8.2,2.1,Not selected
Forward,45,32.57,6.7,15.7,0.424,2.2,6,0.365,2.3,3,0.766,0.7,5.2,5.9,1.5,0.7,0.6,1.3,2.8,17.9,11.1,4.2,Not selected
Forward,46,37.27,7.4,16.1,0.463,1.9,5.5,0.341,3.7,4.2,0.875,0.5,4.8,5.3,4.3,1.3,0.2,2.3,3.2,20.4,14.5,0.8,Not selected
Forward,16,29.65,5.6,12.6,0.446,1.2,3.6,0.345,2.8,4.1,0.692,1.5,4.7,6.2,3.1,1.1,1.2,2.1,2.4,15.3,11.8,2.3,Not selected
Forward,1,5.25,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,1,2,0.9,3,Not selected
Forward,9,23.32,5.8,12.3,0.468,1.2,3.9,0.314,3.4,4.2,0.816,0.7,4,4.7,2.3,2,1,1.8,1,16.2,13.4,1.9,Not selected
Forward,41,36.82,7.6,16.9,0.452,1.2,3.5,0.345,8.4,9.7,0.866,1.7,5.1,6.8,4.8,1.7,0.3,2.1,1.7,24.8,20.8,2.8,Selected
Forward,42,34.38,9.2,17,0.544,2,5,0.405,5.7,6.6,0.863,0.6,8,8.6,4.7,1.1,1.7,2.3,2,26.2,23,11.4,Selected
Forward,39,33.23,8.2,16.7,0.488,2.1,4.9,0.415,6.5,7.2,0.907,1.2,4.5,5.7,3.1,1.9,0.7,1.8,1.6,24.8,20.4,6,Selected
Forward,40,36.57,10.4,20.8,0.501,0.5,1.8,0.3,7.4,9.3,0.796,2.4,9.7,12.1,2.2,1.3,2.4,2.5,2.3,28.8,23.3,-0.2,Selected
Forward,37,35.42,7.7,17.1,0.45,2.4,6.1,0.387,4.4,4.8,0.926,0.8,5.2,6,3.2,1.7,0.3,2.8,2.6,22.2,15.5,1.4,Selected
Forward,39,32.03,6.6,15.3,0.429,2.6,6.9,0.376,4.8,5.5,0.869,2.6,8.4,11,1.9,0.8,0.3,2.1,1.9,20.5,16,7.4,Selected
Forward,43,34.0,6.4,14.4,0.444,1.2,3.6,0.335,3.9,5.2,0.75,1.7,6.4,8.1,3.8,1.5,1,2.3,2.6,18,14.6,4,Selected
Forward,47,27.75,4.5,10.3,0.438,1.1,3.6,0.304,1.4,2.3,0.618,1.3,3.4,4.7,2,0.8,0.4,1.1,2.1,11.6,8.3,-2.5,Not selected
Forward,44,27.12,4,10.2,0.388,1.2,3.7,0.317,1.6,2.3,0.71,0.6,2.6,3.2,2.7,1.3,0.6,1.6,2.3,10.8,7.1,-1.4,Not selected
Forward,46,30.37,4.6,10.7,0.427,2.7,6.7,0.405,1.9,2.1,0.896,1.6,3.4,5,0.9,0.5,0.2,0.9,2,13.7,9.8,5.5,Not selected
Forward,40,22.12,3.6,6.6,0.557,0,0.1,0,2.2,3.2,0.688,3,4.8,7.8,0.9,0.7,0.8,1,2.1,9.5,9.6,-1.6,Not selected
Forward,44,19.92,2.5,4.6,0.537,0.3,0.8,0.353,1,1.4,0.694,1.7,2.9,4.6,1.8,0.6,0.7,0.9,2.7,6.2,6.1,0.9,Not selected
Forward,49,34.6,4.4,10.3,0.428,2.7,7.2,0.374,0.9,1.3,0.698,0.7,4.6,5.3,2.2,1.9,0.3,0.9,1.7,12.4,10.7,5.2,Not selected
Forward,30,33.75,6.7,14.7,0.455,1.4,3.8,0.372,3.9,4.6,0.855,1.2,5.2,6.4,2.8,1.5,0.9,2.5,2.6,18.7,13.7,2.3,Not selected
Forward,46,32.88,6.5,13.4,0.484,1.4,4.2,0.346,2.3,2.6,0.89,0.5,4.6,5.1,1.8,0.7,0.5,1.3,1.7,16.7,11.8,-1.4,Not selected
Forward,41,26.13,3.4,8.2,0.412,1.7,4.7,0.361,1.3,1.7,0.794,0.9,2.8,3.7,0.8,1.2,0.4,0.6,2,9.8,7.4,2,Not selected
Forward,40,33.42,6.8,15.3,0.448,2,5.1,0.384,3.1,3.9,0.8,1.6,5.5,7.1,1.4,0.8,1.9,1.8,3.8,18.8,13,-1.6,Not selected
Forward,45,37.0,8.1,18,0.449,1.2,3.5,0.346,4.6,6.3,0.736,1.2,3.1,4.3,2.4,0.8,0.4,2.4,2.1,22,13.2,-0.2,Not selected
Forward,44,31.43,5,9.5,0.526,1,2.3,0.427,0.7,1.3,0.561,1.4,4.7,6.1,1.7,1.7,0.5,1.6,1.8,11.7,10.1,-0.1,Not selected
Forward,40,27.1,3.9,9.6,0.405,1.8,4.8,0.366,1.3,1.6,0.828,1,4.5,5.5,1.3,0.7,0.5,0.7,1.4,10.8,8.3,1.8,Not selected
Forward,40,23.83,5.9,13.2,0.446,0.4,1.3,0.275,1.6,2.2,0.724,2.4,5.9,8.3,1.8,0.5,0.2,1.2,2,13.7,9.9,1.8,Not selected
Forward,45,27.4,3.1,7.9,0.395,1,3,0.321,0.8,1.2,0.685,1.2,4.4,5.6,1.5,1,0.3,0.8,1.1,8.1,6.9,-3.8,Not selected
Forward,37,32.3,4.8,9.8,0.488,2.3,5.4,0.418,1.9,2.1,0.899,0.5,4.6,5.1,2.2,1,0.3,1.1,2.3,13.7,11.3,4.2,Not selected
Forward,19,18.05,2.5,6.9,0.366,0.7,3,0.246,0.8,1,0.842,0.2,1.7,1.9,1.4,0.7,0.1,0.5,1.3,6.6,4.1,-1,Not selected
Forward,40,34.13,4.9,11.4,0.429,1.9,4.8,0.393,5.1,5.7,0.89,0.5,4.4,4.9,2.2,0.7,0.2,1.4,1.6,16.8,12.6,0.6,Not selected
Forward,44,25.28,2.3,4.8,0.478,0.7,2.1,0.344,0.5,0.8,0.629,0.7,3.1,3.8,3.3,0.9,0.4,0.7,1.2,5.8,7,6.7,Not selected
Forward,46,30.28,6.2,12.6,0.489,1.5,3.9,0.393,1.4,1.7,0.818,1.8,5.2,7,1.1,0.6,1.6,1.2,2.5,15.2,11.8,-2.8,Not selected
Forward,20,24.92,5,12.4,0.401,1.4,4.2,0.337,2,2.4,0.851,0.6,5.2,5.8,1.5,0.4,0.7,0.8,2.1,13.3,8.7,-3.6,Not selected
Forward,32,23.37,3.8,8.3,0.459,0.1,0.2,0.333,1.6,2.6,0.627,1.6,4.4,6,1,0.8,0.9,1.3,2.2,9.3,7,1.2,Not selected
Forward,41,32.3,7,13.9,0.502,0.4,0.8,0.484,3.3,4,0.823,2.2,4.9,7.1,2.3,0.6,1.1,1.3,2.3,17.6,14.1,5,Not selected
Forward,42,35.53,7.5,18.2,0.412,2.9,7.6,0.378,5.9,6.9,0.851,0.9,6.5,7.4,4,2,0.3,3.9,2.8,23.7,16.2,3.9,Selected
Forward,40,34.88,7.8,17.9,0.436,1.4,4.2,0.335,4.7,5.8,0.822,1.6,6,7.6,4,0.9,0.5,2.5,2.5,21.7,15.4,1.3,Selected
Forward,37,35.45,9.1,17.9,0.508,2.3,5.8,0.395,6,6.8,0.888,0.4,7.4,7.8,4.4,1,1.2,2.9,1.6,26.5,21.1,10.8,Selected
Forward,40,33.15,7.4,14.6,0.506,1.8,3.8,0.481,3.5,4,0.874,1.3,5.7,7,2.6,2,0.9,1.4,1.9,20.1,17.5,9.9,Selected
Forward,46,33.6,6.8,14.3,0.476,1.6,4.3,0.372,4,5,0.796,0.9,6.7,7.6,2.5,0.7,0.7,1.4,1.8,19.2,15,0.9,Selected
Forward,46,32.7,6.5,13.2,0.493,0.8,2.6,0.306,4.5,5.8,0.778,2.6,6.3,8.9,3.5,1.9,1.4,2.3,3,18.3,16.7,1.2,Selected
Forward,42,29.43,6.5,13.4,0.488,0,0.3,0,2.8,3.4,0.811,2.6,6.1,8.7,1.4,0.3,0.9,1.4,2.2,15.9,12.1,7.1,Selected
Forward,39,35.28,8.7,17.6,0.492,0.5,1.7,0.288,5.1,6.7,0.766,2,8.1,10.1,1.8,1.3,2.4,2.2,2.4,22.9,18.4,-0.7,Selected
Forward,45,34.2,6,11.7,0.511,0.3,1.3,0.228,3.5,4.5,0.772,1.5,5.7,7.2,2.8,1,1.2,2.5,3.5,15.8,12.1,-2.2,Not selected
Forward,44,33.0,4.4,11.2,0.389,2.4,6.8,0.355,1.6,1.9,0.854,0.4,2.6,3,1.8,1.1,0.3,1.1,2.2,12.8,8.2,2,Not selected
Forward,14,13.45,2.2,4.4,0.5,0.5,1.2,0.412,0.6,1,0.643,0.5,1.6,2.1,1,0.4,0.1,1.8,1.8,5.6,2.8,0.1,Not selected
Forward,36,15.43,2.3,6.3,0.363,0.6,2.2,0.269,0.8,1.4,0.577,1.1,2.9,4,1.5,0.6,1.1,1.4,2.1,6,4.1,-3.2,Not selected
Forward,46,35.05,7.4,16.5,0.45,0.6,2.4,0.243,5.4,7.3,0.74,1.5,2.2,3.7,1.9,0.8,0.5,2.2,2.1,20.8,12.6,-2.5,Not selected
Forward,44,25.45,3.3,6.4,0.514,0,0,0,1.2,1.8,0.675,2.9,4.2,7.1,1.3,0.5,1,1.1,2.3,7.7,7.7,-1.3,Not selected
Forward,44,23.92,3.4,5.9,0.581,0.2,0.8,0.265,0.9,1.6,0.557,2.2,4.2,6.4,1.8,0.7,1.2,1.2,2.8,8,8.2,2.5,Not selected
Forward,39,26.23,5.2,9.6,0.535,0,0,0,2,3.5,0.565,3.7,5.3,9,1.2,0.5,1.1,1.4,2.6,12.3,10.8,-3.4,Not selected
Forward,46,34.3,4.3,11,0.394,1.5,4,0.368,1.4,1.7,0.829,0.7,3.2,3.9,3.8,0.7,0,1.9,1.8,11.5,7.6,-3.7,Not selected
Forward,23,31.93,4.3,11.1,0.388,1.8,4.8,0.378,1.2,2.1,0.583,1.2,3.6,4.8,1,1.7,0.2,1.2,2.5,11.7,7.6,0.3,Not selected
Forward,44,33.07,5.1,11.1,0.463,1,3.1,0.311,2.5,3.2,0.78,1.4,5.6,7,2.2,1,0.6,1.6,1.9,13.7,11,-0.6,Not selected
Forward,46,32.3,6.8,13.4,0.511,0.1,0.5,0.217,1.3,2.3,0.585,2.7,6.3,9,1.5,1.5,0.4,1.8,2.5,15.2,11.9,-4.8,Not selected
Forward,40,34.38,5.4,13.2,0.407,1.6,4.6,0.357,6.9,7.8,0.876,1.2,4.6,5.8,2.5,0.6,0.4,1.4,1.7,19.2,14.6,-3,Not selected
Forward,42,31.43,6,13.7,0.433,2.1,5.4,0.394,2.9,3.3,0.879,2,4,6,1,0.6,0.4,1.6,1.6,17,11.5,0.5,Not selected
Forward,43,17.48,1.9,5.6,0.344,1.1,3.5,0.316,0.7,0.9,0.795,0.2,2.6,2.8,1,0.5,0.2,0.7,1.8,5.7,3.3,0,Not selected
Forward,44,27.38,3,5.4,0.564,0,0,,1.7,3,0.585,3.3,6,9.3,0.7,0.3,0.4,0.7,2.5,7.8,8.2,4.4,Not selected
Forward,40,27.28,4.6,9.4,0.485,1.4,3.4,0.399,1.2,2,0.61,0.4,3.8,4.2,2.4,0.6,0.4,1.4,1.7,11.7,8.5,-0.4,Not selected
Forward,47,34.32,4.3,10.4,0.414,2.3,6,0.379,1.3,1.8,0.721,0.7,3.9,4.6,1.9,1.8,0.3,1.4,2.2,12.2,9.1,-1,Not selected
Forward,30,22.92,4.1,10.7,0.385,0.6,2,0.305,1.4,2,0.712,1,3.9,4.9,1.9,0.7,0.3,2.2,2.7,10.3,5.1,-3.8,Not selected
