Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Guard,38,27.03,3.6,7.8,0.461,1.4,3.1,0.448,1.7,2.2,0.776,0.5,2.4,2.9,2.8,0.9,0.3,1.4,1.7,10.3,8.1,-6.2,Not selected
Guard,46,29.02,3.8,10,0.384,1,3.5,0.292,2.4,2.8,0.867,0.5,3.5,4,4.8,1.6,0.1,2.8,2.6,11.1,8.1,-3,Not selected
Guard,46,37.03,7.3,14.9,0.493,1.7,5,0.339,2.3,2.8,0.812,0.6,3.7,4.3,5.2,1.5,0.6,2.6,2.3,18.6,14.5,3.3,Not selected
Guard,36,32.57,5.8,13,0.448,2.7,6.7,0.405,2.9,3.1,0.946,0.2,2.6,2.8,3.3,0.5,0.1,1.5,2.1,17.3,12,2.3,Not selected
Guard,43,34.9,6.5,13.3,0.489,2.3,5.9,0.38,1.8,2.2,0.809,0.6,2.1,2.7,3.3,2,0.3,1.9,1.8,17,13,3.1,Not selected
Guard,38,33.72,4.9,11.2,0.436,1.2,3.4,0.357,2.5,3.1,0.81,0.4,2.7,3.1,7.1,1.5,0.3,2.8,2.6,13.4,11.2,2.5,Not selected
Guard,38,31.6,6,14.5,0.411,1.9,4.9,0.396,1.6,2.1,0.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2,15.5,8,-2.3,Not selected
Guard,31,31.25,4.2,10.1,0.412,1.1,4,0.285,1.5,1.9,0.814,0.7,3.6,4.3,4.6,1,0.3,2.1,1.1,11,8.9,1.7,Not selected
Guard,7,24.48,5.7,14.4,0.396,2,6.9,0.292,2.7,3.6,0.76,0.7,0.6,1.3,3.6,0.4,0.1,2.4,1.7,16.1,8.6,-8.6,Not selected
Guard,46,36.35,8.1,18.3,0.444,2.5,5.9,0.419,2.7,3.1,0.88,0.6,3.4,4,3.2,1.1,0.4,1.9,2.3,21.4,13.9,-0.2,Not selected
Guard,39,31.4,6.2,13.8,0.444,1.5,4.8,0.307,3.7,4.8,0.762,0.7,2.9,3.6,4.2,2.2,0.6,3,2.5,17.5,12.8,-0.5,Not selected
Guard,12,31.1,5.3,14,0.381,2,6.4,0.312,4.4,5.5,0.803,0,2.2,2.2,4.1,1,0.2,1.5,2,17.1,11.4,-1.3,Not selected
Guard,28,32.28,6.5,14.1,0.46,2.8,7,0.396,3.3,3.6,0.911,0.7,5.2,5.9,8.9,1.9,0.4,2.6,2.5,19.1,18.6,8,Not selected
Guard,35,34.8,8.7,18.9,0.461,2.3,5.7,0.405,3.9,4.3,0.895,0.9,2.6,3.5,5.6,1.1,0.1,2.7,1.9,23.6,16.8,4.8,Selected
Guard,42,35.45,10.2,21.5,0.475,0.3,1.4,0.241,7.5,8.8,0.848,1,4.4,5.4,3.9,1.2,0.2,2.4,1.9,28.2,19.7,3.4,Selected
Guard,42,33.57,8.2,17.5,0.465,3.8,9.5,0.397,4.5,4.9,0.926,0.6,3.6,4.2,6.1,1.8,0.2,3,2.3,24.6,19.2,12.6,Selected
Guard,45,36.58,8.4,19,0.443,3.1,9,0.347,8.9,10.4,0.853,1.3,7,8.3,11.6,1.4,0.4,5.7,2.5,28.9,24.4,6.5,Selected
Guard,43,36.38,8.5,18.3,0.464,1.1,3.4,0.317,5,6.1,0.824,0.9,3.6,4.5,10.1,2.2,0.5,4.2,2,23.1,19.5,3.3,Selected
Guard,41,34.32,9.2,19.9,0.462,3,8,0.38,7.7,8.5,0.908,0.7,2.1,2.8,6.2,0.8,0.1,2.5,2.1,29.1,21.5,1.7,Selected
Guard,45,37.33,7.1,15.1,0.469,3.2,7.5,0.422,5.1,6.1,0.83,0.9,3.9,4.8,6.9,1.6,0.4,2.9,2.9,22.4,18.8,6.3,Selected
Guard,45,33.83,8.2,18,0.457,2.8,6.9,0.411,3.8,4.6,0.827,0.6,3.4,4,5.5,1.2,0.2,2.3,1.6,23,17.2,3.8,Selected
Guard,46,34.67,10,23.7,0.419,2.1,6.3,0.33,8.7,10.6,0.822,1.8,8.8,10.6,10.4,1.6,0.3,5.6,2.4,30.7,23.8,3.8,Selected
Guard,45,34.27,8,17,0.467,3.1,7.8,0.396,2.1,2.5,0.847,0.6,3.2,3.8,1.9,0.8,0.5,1.8,1.9,21.1,13.5,11.6,Selected
Guard,44,34.52,7.4,17.6,0.422,1.9,5.1,0.373,3.9,4.6,0.837,0.5,2.2,2.7,3.1,0.9,0.2,2.8,3.2,20.6,11.2,-2.5,Not selected
Guard,42,21.88,4,10.3,0.394,0.9,2.6,0.349,2.9,3.4,0.858,0.5,1.9,2.4,2.4,0.6,0,1.7,1.8,11.9,7,-6.2,Not selected
Guard,38,19.17,2.6,6.8,0.376,1.4,3.5,0.394,1.6,1.8,0.868,0.4,2.1,2.5,2.5,1.2,0.3,1.4,1.7,8,6.2,4.3,Not selected
Guard,21,28.92,3,8.8,0.337,2.4,6.6,0.362,0.3,0.4,0.778,0.4,1.8,2.2,1.2,1.2,0.4,0.7,2.2,8.6,5.2,5.2,Not selected
Guard,36,33.02,6.1,13.7,0.443,1.7,4.8,0.358,3.2,3.8,0.826,0.6,2.5,3.1,3.3,1,0.1,2.1,2.7,17,11,-2.5,Not selected
Guard,43,35.4,5.1,12.9,0.394,2.9,7.5,0.386,1.9,2.4,0.798,0.2,3,3.2,2.2,1.2,0.2,1.4,2.1,15,9.5,-3.9,Not selected
Guard,37,29.3,5.2,12.5,0.418,2.1,5.8,0.357,1.5,2,0.747,0.3,3.4,3.7,2,0.6,0.2,1.2,2.3,14,8.3,4.6,Not selected
Guard,37,33.8,6.3,13.8,0.456,2.1,5.6,0.378,1.5,2.1,0.684,0.6,3.6,4.2,2.6,1.1,0.3,1.6,2.2,16.2,10.9,2.8,Not selected
Guard,36,34.92,7.1,15,0.475,2.1,5.2,0.409,1.3,1.8,0.762,1.1,5.8,6.9,2.4,1.3,0.2,1.8,2.7,17.7,12.7,0.1,Not selected
Guard,39,31.65,2.3,6.2,0.375,0.6,2.3,0.25,2.7,3.1,0.875,1.1,2.8,3.9,8.1,1.8,0.1,2.2,2.5,7.9,10.2,-0.8,Not selected
Guard,40,27.42,3.3,7.6,0.437,2,5,0.412,0.6,0.7,0.889,0.1,2.8,2.9,2,0.7,0.4,1.1,1.4,9.2,6.8,-4,Not selected
Guard,37,26.37,2.6,6.3,0.422,1.9,4.6,0.409,0.3,0.4,0.786,0.3,2.7,3,1.9,0.9,0.7,1,1.8,7.5,6.2,5.6,Not selected
Guard,38,34.55,7,15.1,0.463,1.6,3.9,0.405,3.9,4.9,0.787,0.8,3.2,4,6.3,0.9,0.2,3.2,2.7,19.5,14,-2.9,Not selected
Guard,44,28.08,5.4,12,0.452,2.7,6.1,0.437,2.2,2.5,0.865,0.2,1.9,2.1,1.3,0.7,0.1,1.3,1.6,15.7,9.8,6.6,Not selected
Guard,41,34.35,7.6,16.6,0.455,2.7,7.1,0.386,4,4.9,0.816,0.6,2.2,2.8,3.6,1,0.3,2,2.2,21.9,14.9,4.2,Not selected
Guard,44,32.25,5,11.3,0.447,0.9,2.8,0.328,4.5,5.3,0.847,0.5,3.6,4.1,8,1.5,0.5,2.9,2.2,15.5,14.4,-0.8,Not selected
Guard,23,31.48,6.3,13,0.483,2,4.7,0.417,3.5,4.3,0.8,0.5,3.1,3.6,4.1,1,0.3,1.6,2.5,18,13.8,7.8,Not selected
Guard,25,29.32,6.3,14.5,0.435,1.5,4,0.38,2.7,3.2,0.861,0.5,1.8,2.3,5.6,0.7,0.1,2.7,3,16.9,10.8,-3.5,Not selected
Guard,47,34.65,8.8,18.3,0.48,2.6,6.1,0.421,3.4,3.8,0.894,0.8,2.7,3.5,3.7,1.1,0.7,2.2,2.8,23.5,16.2,-0.8,Not selected
Guard,45,33.13,7,15.7,0.446,1.5,4.6,0.317,5.3,6.2,0.85,0.9,4.1,5,6.2,1.4,0.4,3.1,2.7,20.8,16,-3.3,Not selected
Guard,44,35.37,10,21.2,0.473,0.4,1.4,0.258,7.5,8.8,0.85,1,4.3,5.3,3.8,1.2,0.2,2.4,1.9,27.9,19.4,2.3,Not selected
Guard,41,34.32,9.2,19.9,0.462,3,8,0.38,7.7,8.5,0.908,0.7,2.1,2.8,6.2,0.8,0.1,2.5,2.1,29.1,21.5,1.7,Not selected
Guard,42,30.57,7.1,16.6,0.428,0.9,2.7,0.319,4,5.1,0.793,1.1,3.1,4.2,3.7,1.6,0.7,2.2,1.9,19.1,13.4,-0.9,Not selected
Guard,35,32.52,6.1,14.2,0.432,2.3,5.6,0.401,4.1,4.7,0.861,0.6,3.2,3.8,6.2,1.3,0.4,2.3,1.8,18.6,15,1.2,Not selected
Guard,42,35.62,8.6,19.3,0.444,2.5,7.3,0.34,6.5,7.3,0.899,0.6,4.1,4.7,5.8,0.7,0.3,2.7,2.2,26.2,18.9,-0.8,Not selected
